"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1424","test_get_all_posts","tests.api.clients","Mon Apr 21 11:45:53 EAT 2025","passed","Mon Apr 21 11:45:55 EAT 2025","","test_api_posts","",""
"","1173","test_patch_post_invalid_id","tests.api.clients","Mon Apr 21 11:46:05 EAT 2025","passed","Mon Apr 21 11:46:06 EAT 2025","","test_api_posts","",""
"","5558","test_upload_empty_file[chromium]","tests.ui","Mon Apr 21 11:46:29 EAT 2025","passed","Mon Apr 21 11:46:34 EAT 2025","TestUploadUI","test_upload_ui","",""
"","4358","test_valid_file_upload[chromium]","tests.ui","Mon Apr 21 11:46:15 EAT 2025","passed","Mon Apr 21 11:46:19 EAT 2025","TestUploadUI","test_upload_ui","",""
"","0","test_ci_pipeline_triggered","tests","Mon Apr 21 11:46:13 EAT 2025","passed","Mon Apr 21 11:46:13 EAT 2025","","test_config_env","",""
"","1376","test_post_large_payload","tests.api.clients","Mon Apr 21 11:46:11 EAT 2025","passed","Mon Apr 21 11:46:13 EAT 2025","","test_api_posts","",""
"","4771","test_retry_after_failure[chromium]","tests.ui","Mon Apr 21 11:46:52 EAT 2025","passed","Mon Apr 21 11:46:56 EAT 2025","TestUploadUI","test_upload_ui","",""
"","0","test_env_loaded_successfully","tests","Mon Apr 21 11:46:13 EAT 2025","passed","Mon Apr 21 11:46:13 EAT 2025","","test_config_env","",""
"","2283","test_create_post_invalid_data","tests.api.clients","Mon Apr 21 11:46:01 EAT 2025","passed","Mon Apr 21 11:46:03 EAT 2025","","test_api_posts","",""
"","0","test_config_values_correct","tests","Mon Apr 21 11:46:13 EAT 2025","passed","Mon Apr 21 11:46:13 EAT 2025","","test_config_env","",""
"","5562","test_network_timeout_upload[chromium]","tests.ui","Mon Apr 21 11:46:46 EAT 2025","passed","Mon Apr 21 11:46:51 EAT 2025","TestUploadUI","test_upload_ui","",""
"","0","test_unauthorized_upload[chromium]","tests.ui","Mon Apr 21 11:46:52 EAT 2025","passed","Mon Apr 21 11:46:52 EAT 2025","TestUploadUI","test_upload_ui","",""
"","1751","test_post_invalid_method","tests.api.clients","Mon Apr 21 11:46:09 EAT 2025","passed","Mon Apr 21 11:46:11 EAT 2025","","test_api_posts","",""
"","1731","test_delete_existing_post","tests.api.clients","Mon Apr 21 11:46:06 EAT 2025","passed","Mon Apr 21 11:46:08 EAT 2025","","test_api_posts","",""
"","1736","test_delete_nonexistent_post","tests.api.clients","Mon Apr 21 11:46:08 EAT 2025","passed","Mon Apr 21 11:46:09 EAT 2025","","test_api_posts","",""
"","5069","test_invalid_file_type[chromium]","tests.ui","Mon Apr 21 11:46:23 EAT 2025","passed","Mon Apr 21 11:46:28 EAT 2025","TestUploadUI","test_upload_ui","",""
"","882","test_invalid_auth_token","tests.api.clients","Mon Apr 21 11:46:13 EAT 2025","passed","Mon Apr 21 11:46:13 EAT 2025","","test_api_posts","",""
"","1038","test_get_nonexistent_post","tests.api.clients","Mon Apr 21 11:45:56 EAT 2025","passed","Mon Apr 21 11:45:57 EAT 2025","","test_api_posts","",""
"","1685","test_patch_post_valid","tests.api.clients","Mon Apr 21 11:46:03 EAT 2025","passed","Mon Apr 21 11:46:05 EAT 2025","","test_api_posts","",""
"","11795","test_concurrent_uploads[chromium]","tests.ui","Mon Apr 21 11:46:34 EAT 2025","passed","Mon Apr 21 11:46:46 EAT 2025","TestUploadUI","test_upload_ui","",""
"","2041","test_create_post_missing_fields","tests.api.clients","Mon Apr 21 11:45:59 EAT 2025","passed","Mon Apr 21 11:46:01 EAT 2025","","test_api_posts","",""
"","4305","test_no_file_selected[chromium]","tests.ui","Mon Apr 21 11:46:19 EAT 2025","passed","Mon Apr 21 11:46:23 EAT 2025","TestUploadUI","test_upload_ui","",""
"","1047","test_get_single_post","tests.api.clients","Mon Apr 21 11:45:55 EAT 2025","passed","Mon Apr 21 11:45:56 EAT 2025","","test_api_posts","",""
"","1976","test_create_post_valid","tests.api.clients","Mon Apr 21 11:45:57 EAT 2025","passed","Mon Apr 21 11:45:59 EAT 2025","","test_api_posts","",""
